SerialNumber,Event,Time,LifetimeID
547640570&0,Connected,2015-01-27 10:12:13.742683,{c9023e37-5784-4a7c-af4c-ccb734f81988}
547640570&0,Disconnected,2015-01-27 10:12:13.883307,{c9023e37-5784-4a7c-af4c-ccb734f81988}
547640570&0,Disconnected,2015-01-27 10:12:13.914558,{c9023e37-5784-4a7c-af4c-ccb734f81988}
547640570&0,Disconnected,2015-01-27 10:12:13.914558,{c9023e37-5784-4a7c-af4c-ccb734f81988}
547640570&0,Disconnected,2015-01-27 10:19:29.134472,{c9023e37-5784-4a7c-af4c-ccb734f81988}
547640570&0,Disconnected,2015-01-27 10:19:29.906071,{c9023e37-5784-4a7c-af4c-ccb734f81988}
000FF1103111925014061123&0,Connected,2015-02-05 09:15:09.911655,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Disconnected,2015-02-05 09:15:10.099154,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Disconnected,2015-02-05 09:15:10.099154,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Disconnected,2015-02-05 09:15:10.099154,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Disconnected,2015-02-05 09:19:45.197649,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Disconnected,2015-02-05 09:19:45.588898,{c2998586-9421-48af-be74-8445b283549c}
000FF1103111925014061123&0,Connected,2014-08-20 02:42:16.063173,{396cb303-d851-42c3-9a8f-349a717aca9f}
000FF1103111925014061123&0,Disconnected,2014-08-20 02:42:16.063173,{396cb303-d851-42c3-9a8f-349a717aca9f}
000FF1103111925014061123&0,Disconnected,2014-08-20 02:42:16.063173,{396cb303-d851-42c3-9a8f-349a717aca9f}
000FF1103111925014061123&0,Disconnected,2014-08-20 02:42:16.063173,{396cb303-d851-42c3-9a8f-349a717aca9f}
000FF1103111925014061123&0,Disconnected,2014-08-20 07:46:21.631504,{396cb303-d851-42c3-9a8f-349a717aca9f}
547640570&0,Connected,2014-08-22 05:48:41.460613,{ff0115a0-e7cf-4d58-bfc8-c9c25d248b59}
547640570&0,Disconnected,2014-08-22 05:48:41.460613,{ff0115a0-e7cf-4d58-bfc8-c9c25d248b59}
547640570&0,Disconnected,2014-08-22 05:48:41.476229,{ff0115a0-e7cf-4d58-bfc8-c9c25d248b59}
547640570&0,Disconnected,2014-08-22 05:48:41.476229,{ff0115a0-e7cf-4d58-bfc8-c9c25d248b59}
547640570&0,Disconnected,2014-08-22 05:50:01.794971,{ff0115a0-e7cf-4d58-bfc8-c9c25d248b59}
000FF1103111925014061123&0,Connected,2014-09-01 05:47:20.043978,{ea4a793b-55dd-40a7-ba18-312edd4f2d83}
000FF1103111925014061123&0,Disconnected,2014-09-01 05:47:20.043978,{ea4a793b-55dd-40a7-ba18-312edd4f2d83}
000FF1103111925014061123&0,Disconnected,2014-09-01 05:47:20.043978,{ea4a793b-55dd-40a7-ba18-312edd4f2d83}
000FF1103111925014061123&0,Disconnected,2014-09-01 05:47:20.043978,{ea4a793b-55dd-40a7-ba18-312edd4f2d83}
000FF1103111925014061123&0,Disconnected,2014-09-01 09:53:33.844608,{ea4a793b-55dd-40a7-ba18-312edd4f2d83}
AA00000000001955&0,Connected,2014-09-03 02:57:36.913040,{571f1a25-634b-470d-acbe-b4489f853b03}
